2026-04-06 12:11:17,257 | INFO | flet | Assets path configured: C:\Users\bernardo.silva\SynologyDrive\3.Arquivos\Script\Python Scripts\3. Estudos e Referencias\Fleting\assets
2026-04-06 12:11:17,260 | INFO | flet | Starting up TCP server on localhost:61288
2026-04-06 12:11:17,268 | INFO | flet | Flet app has started...
2026-04-06 12:11:18,371 | INFO | flet | App session started
2026-04-06 12:11:18,383 | INFO | Router | Navigating to: /
2026-04-06 12:11:18,391 | INFO | App | Aplicação iniciada com sucesso
2026-04-06 12:11:20,713 | INFO | Router | Navigating to: /test
2026-04-06 12:11:30,890 | INFO | flet | Session was garbage collected: wrleBXkAd3a7CUY1
2026-04-06 12:12:13,886 | INFO | flet | Assets path configured: C:\Users\bernardo.silva\SynologyDrive\3.Arquivos\Script\Python Scripts\3. Estudos e Referencias\Fleting\assets
2026-04-06 12:12:13,888 | INFO | flet | Starting up TCP server on localhost:61315
2026-04-06 12:12:13,902 | INFO | flet | Flet app has started...
2026-04-06 12:12:14,276 | INFO | flet | App session started
2026-04-06 12:12:14,280 | INFO | Router | Navigating to: /
2026-04-06 12:12:14,288 | INFO | App | Aplicação iniciada com sucesso
2026-04-06 12:12:16,617 | INFO | flet | Session was garbage collected: pxmIsCwRquiIxVy5
2026-04-06 12:12:28,724 | INFO | flet | Assets path configured: C:\Users\bernardo.silva\SynologyDrive\3.Arquivos\Script\Python Scripts\3. Estudos e Referencias\Fleting\assets
2026-04-06 12:12:28,727 | INFO | flet | Starting up TCP server on localhost:61322
2026-04-06 12:12:28,736 | INFO | flet | Flet app has started...
2026-04-06 12:12:29,170 | INFO | flet | App session started
2026-04-06 12:12:29,174 | INFO | Router | Navigating to: /
2026-04-06 12:12:29,185 | INFO | App | Aplicação iniciada com sucesso
2026-04-06 12:12:31,760 | INFO | Router | Navigating to: /
2026-04-06 12:12:32,985 | INFO | Router | Navigating to: /test
2026-04-06 12:12:34,412 | INFO | flet | Session was garbage collected: GyggR8ka9vfrBqRD
2026-04-06 12:12:41,043 | INFO | flet | Assets path configured: C:\Users\bernardo.silva\SynologyDrive\3.Arquivos\Script\Python Scripts\3. Estudos e Referencias\Fleting\assets
2026-04-06 12:12:41,045 | INFO | flet | Starting up TCP server on localhost:61334
2026-04-06 12:12:41,054 | INFO | flet | Flet app has started...
2026-04-06 12:12:41,474 | INFO | flet | App session started
2026-04-06 12:12:41,478 | INFO | Router | Navigating to: /
2026-04-06 12:12:41,486 | INFO | App | Aplicação iniciada com sucesso
2026-04-06 12:12:43,769 | INFO | Router | Navigating to: /
2026-04-06 12:12:46,129 | INFO | Router | Navigating to: /test
2026-04-06 12:12:47,618 | INFO | Router | Navigating to: /
2026-04-06 12:12:49,710 | INFO | flet | Session was garbage collected: BczVMyTQDpdFsYRR
2026-04-06 12:14:19,222 | INFO | flet | Assets path configured: C:\Users\bernardo.silva\SynologyDrive\3.Arquivos\Script\Python Scripts\3. Estudos e Referencias\Fleting\assets
2026-04-06 12:14:19,224 | INFO | flet | Starting up TCP server on localhost:61375
2026-04-06 12:14:19,230 | INFO | flet | Flet app has started...
2026-04-06 12:14:19,788 | INFO | flet | App session started
2026-04-06 12:14:19,794 | INFO | Router | Navigating to: /
2026-04-06 12:14:19,813 | INFO | App | Aplicação iniciada com sucesso
2026-04-06 12:14:24,507 | INFO | Router | Navigating to: /settings
2026-04-06 12:14:26,019 | INFO | Router | Navigating to: /test
2026-04-06 12:14:27,440 | INFO | flet | Session was garbage collected: CYgCgP4JiDHCi7gj
2026-04-06 12:14:51,582 | INFO | flet | Assets path configured: C:\Users\bernardo.silva\SynologyDrive\3.Arquivos\Script\Python Scripts\3. Estudos e Referencias\Fleting\assets
2026-04-06 12:14:51,584 | INFO | flet | Starting up TCP server on localhost:61397
2026-04-06 12:14:51,591 | INFO | flet | Flet app has started...
2026-04-06 12:14:52,077 | INFO | flet | App session started
2026-04-06 12:14:52,081 | INFO | Router | Navigating to: /
2026-04-06 12:14:52,088 | INFO | App | Aplicação iniciada com sucesso
2026-04-06 12:14:53,965 | INFO | flet | Session was garbage collected: EVcw4rz57YyblFe1
2026-04-06 12:15:02,908 | INFO | flet | Assets path configured: C:\Users\bernardo.silva\SynologyDrive\3.Arquivos\Script\Python Scripts\3. Estudos e Referencias\Fleting\assets
2026-04-06 12:15:02,911 | INFO | flet | Starting up TCP server on localhost:61406
2026-04-06 12:15:02,918 | INFO | flet | Flet app has started...
2026-04-06 12:15:03,315 | INFO | flet | App session started
2026-04-06 12:15:03,320 | INFO | Router | Navigating to: /
2026-04-06 12:15:03,330 | INFO | App | Aplicação iniciada com sucesso
2026-04-06 12:15:06,408 | INFO | Router | Navigating to: /test
2026-04-06 12:15:07,723 | INFO | flet | Session was garbage collected: as8vyIOqWq0YagJs
2026-04-06 12:16:29,862 | INFO | flet | Assets path configured: C:\Users\bernardo.silva\SynologyDrive\3.Arquivos\Script\Python Scripts\3. Estudos e Referencias\Fleting\assets
2026-04-06 12:16:29,864 | INFO | flet | Starting up TCP server on localhost:61446
2026-04-06 12:16:29,871 | INFO | flet | Flet app has started...
2026-04-06 12:16:30,257 | INFO | flet | App session started
2026-04-06 12:16:30,262 | INFO | Router | Navigating to: /
2026-04-06 12:16:30,270 | INFO | App | Aplicação iniciada com sucesso
2026-04-06 12:16:33,289 | INFO | Router | Navigating to: /test
2026-04-06 12:16:36,297 | INFO | Router | Navigating to: /
2026-04-06 12:16:38,726 | INFO | flet | Session was garbage collected: J2h8hFY5k1nhl1h0
2026-04-06 12:16:55,367 | INFO | flet | Assets path configured: C:\Users\bernardo.silva\SynologyDrive\3.Arquivos\Script\Python Scripts\3. Estudos e Referencias\Fleting\assets
2026-04-06 12:16:55,370 | INFO | flet | Starting up TCP server on localhost:61460
2026-04-06 12:16:55,378 | INFO | flet | Flet app has started...
2026-04-06 12:16:55,806 | INFO | flet | App session started
2026-04-06 12:16:55,811 | INFO | Router | Navigating to: /
2026-04-06 12:16:55,821 | INFO | App | Aplicação iniciada com sucesso
2026-04-06 12:16:57,707 | INFO | Router | Navigating to: /help
2026-04-06 12:16:58,629 | INFO | Router | Navigating to: /
2026-04-06 12:16:59,852 | INFO | Router | Navigating to: /help
2026-04-06 12:17:02,396 | INFO | Router | Navigating to: /
2026-04-06 12:17:03,716 | INFO | Router | Navigating to: /test
2026-04-06 12:17:07,435 | INFO | flet | Session was garbage collected: nHjDmxULDNyYjelJ
